model_name_list,detail_link,detail_url,rent_yn,list_price_wan,model_name,price_wan,rent_yn_detail,support_money_wan,monthly_rent_wan,remain_months,year_month,mileage_km,fuel_type,transmission,color,displacement_cc,reg_date
BMW M440i xDrive 컨버터블,/mycar/mycar_view.php?no=2256639&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256639&gubun=I,False,,BMW  2세대  M440i xDrive 컨버터블 -,,False,,,,2024.04,8619.0,가솔린,자동,검정색,2998.0,
BMW  2세대 420i 컨버터블 M 스포츠,/mycar/mycar_view.php?no=2251640&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2251640&gubun=I,True,0.0,BMW  2세대  420i 컨버터블 M 스포츠,0.0,True,,,0 / 0,2024.04,21635.0,가솔린,자동,흰색,1998.0,
BMW 430i 쿠페 M 스포츠,/mycar/mycar_view.php?no=2199420&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2199420&gubun=I,False,2500.0,BMW  1세대  430i 쿠페 M 스포츠,2500.0,False,,,,2019.05 (18년형),14000.0,가솔린,자동,빨간색,1998.0,
BMW 428i 컨버터블 비전 100,/mycar/mycar_view.php?no=2246383&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2246383&gubun=I,False,2690.0,BMW  1세대  428i 컨버터블 비전 100,2690.0,False,,,,2016.09 (17년형),58000.0,가솔린,자동,흰색,1997.0,
BMW 645CI 컨버터블,/mycar/mycar_view.php?no=2256190&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256190&gubun=I,False,1290.0,BMW  2세대  645CI 컨버터블 -,1290.0,False,,,,2004.07,191000.0,가솔린,자동,연금색,4398.0,
BMW 650i 컨버터블,/mycar/mycar_view.php?no=2247890&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2247890&gubun=I,False,1290.0,BMW  2세대  650i 컨버터블 -,1290.0,False,,,,2006.08 (07년형),79469.0,가솔린,자동,은색,4799.0,
BMW 635CSi,/mycar/mycar_view.php?no=2127976&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2127976&gubun=I,False,,BMW  1세대  635CSi 쿠페 -,,False,,,,2016.09 (88년형),63498.0,가솔린,자동,은색,3430.0,
BMW X6 M 4.4 컴페티션,/mycar/mycar_view.php?no=2238574&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2238574&gubun=I,False,,BMW X6 M 3세대  4.4 컴페티션,,False,,,,2022.08,48000.0,가솔린,자동,흰색,4395.0,
BMW X6 M 4.4,/mycar/mycar_view.php?no=2252611&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252611&gubun=I,False,4300.0,BMW X6 M 2세대  4.4 -,4300.0,False,,,,2015.11,98442.0,가솔린,자동,흰색,4395.0,
BMW X6 M 4.4,/mycar/mycar_view.php?no=2255483&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255483&gubun=I,False,,BMW X6 M 2세대  4.4 -,,False,,,,2019.11,84848.0,가솔린,자동,파란색,4395.0,
BMW M3 3.0 컴페티션 M xDrive,/mycar/mycar_view.php?no=2249319&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2249319&gubun=I,False,,BMW M3 6세대  3.0 컴페티션 M xDrive -,,False,,,,2024.10,11000.0,가솔린,자동,흰색,2993.0,
BMW M3 투어링 3.0 컴페티션 M xDrive,/mycar/mycar_view.php?no=2249649&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2249649&gubun=I,False,,BMW M3 6세대  투어링 3.0 컴페티션 M xDrive -,,False,,,,2024.07,4900.0,가솔린,자동,진회색,2993.0,
